Sample;Classification
"The coolers shall be designed for continuous operation for the complete range of
ambient conditions experienced at site. The cooler shall be designed with 20% spare
capacity on the heat transfer surface. The design shall allow isolation of one bank at a
time online.";0
"The whole unit shall be contained in an aero-dynamically designed weather proof
enclosure manufactured from heavy gauge sheet access ponds, condenser legs and
fan guards. All metal shall he heavy duty galvanized.";0
"The gas turbine generator installation, including all auxiliary enclosures that contain
pipework or systems holding flammable materials or fuel, shall be protected from fire
with an automatic fire detection system.";0
"All CO2 system signals shall be sent to MCR, this shall include CO2 tank level, valve
indication, pressure, etc.";0
"All functionalities of the fire detection and fire alarm installations for the
Turbine/Generator Unit shall be repeated by a dedicated panel located in main control
room (MCR) with CO2 release facility.";0
"Gas tight access doors shall be provided to give access to ducts for inspection and
maintenance. They shall be not less than 600 mm x 600 mm size. Locking devices";0
"One bypass exhaust stack shall be provided for use when the HRSG is not in
operation, so the gas turbine can run in open cycle mode.";0
"The lubricating oil system shall be designed to
maintain oil pressure on loss of the main lube oil pump while on load, momentary loss
of AC power while on load, and safe shutdown without any AC power";0
"As a backup to the powered system, means shall be provided for turning of rotors by
hand during maintenance and for emergency use.";0
"The turbine shall be designed to pass a minimum steam flow of 105 % of the steam
flow corresponding to the respective CCGT plant 100 % guaranteed load conditions
with evaporative coolers (or optional chiller) in service, when the governing valves are
wide open.";0
(j) An ultrasonic cleaner to handle all cleanable filters shall be provided.;0
"(k) Tools required to perform Gas Turbines maintenance as described in Volume III P01 of the Tender
Document.";0
"The tools and appliances
supplied shall not be used for erection purposes by the Contractor and shall be handed over in new
condition.";0
"All plant items and corresponding parts performing similar duties shall be interchangeable in order to
minimize the stocking of spare parts.";0
"The equipment shall also be designed to prevent ingress of all vermin, accidental contact with live parts
and minimize the ingress of dust and dirt.";0
"For shop fabrication of Gas Turbine and Steam Turbine, the welding procedures and tests will be executed
according to the system´s requirements and according to proven OEM standards and / or international
Standards.";0
Every current carrying part of the equipment shall be capable of carrying its site rated current continuously, without assistance from any forced cooled ventilation or air conditioning plant, under the site conditions as specified, and in no conditions shall the permitted temperature rise be exceeded.;0
Minimum 10% margin should be provided in the fault levels in the switchboards over and above the standards  requirements during fault calculations.;0
All electrical equipment shall, except where otherwise specified, be capable of continuous operation at a voltage level in the range of 80% to 110% of the nominal voltage without the deterioration.;0
All panels shall be rigidly constructed from folded sheet steel of minimum 2.5 mm thickness to support the equipment mounted thereon, above a channel base frame to provide a toe recess. Alternatively a separate kicking plate shall be provided.;0
Overall height, excluding cable boxes, shall not exceed 2.5 m. Operating handles and locking devices shall be located within the operating limits of 0.95 m and 1.8 m above floor level. The minimum height for indicating instruments and meters shall be 1.5 m unless otherwise specified.;0
All panels, desks and cubicles shall be vermin-proof, and dust proof and, if required for outdoor duty, shall also be weather proof and have doomed and sloping roofs. All cable entries to equipment shall be sealed against vermin as soon as possible after installation and connecting-up of the cables to the approval of the Engineer.;0
"Terminal boards shall be mounted vertically, not less than 150 mm above the land plates, and spaced not
less than 100 mm apart, on the side of the enclosure and set obliquely towards the rear doors.";0
The secondary winding of each set of CT shall be capable of being open circuited for one (1) minute with the primary winding carrying the rated current without being damaged.;0
"For generator protection, the trip matrix shall be provided as hard wired or any other proven
OEM standard design matrix type.";0
"The DCS and other control systems, such as black box systems, shall be connected to the master clock for
time synchronisation purposes.";0
"On-line diagnostic including short circuit/wire break and ground fault supervision for all signals as a
standard inherent feature of the system;";0
"The communication with the other process stations and with the operator interface shall be via a bidirectional
redundant process bus system over fibre optic links.";0
"All workstations including engineering and diagnostic stations shall be connected separately to the
LAN in a redundant fashion.";0
"Each display shall show the current value and status of all measured data associated with the graphic.
Values in alarm shall appear flashing.";0
"Each marshalling cubicle shall be provided with 20% spare capacity in the termination blocks to be
counted after completion of commissioning.";0
"The Employer/Engineer reserves the right for inspection visits in addition to the Contractor’s testing
programme to monitor the progress and quality of the works.";0
The control oil used shall be fire resistant fluid.;0
"The excitation system shall be capable of sustain a steady state short circuit current of not less than 1.6
p.u. for at least 15 s with a 3 phase terminal short circuit applied.";0
The converter should be of modular construction so that a minimum of one bridge may be removed for maintenance whilst maintaining full load excitation without any restrictions.;0
"Means shall be provided on the cubicles for indicating locally and remotely whether the switches are in the
'open' or 'closed' position.";0
"Approved arrangements shall be made for locating and operating a grinder for grinding surfaces. The
grinder shall be included under the scope of supply.";0
The cooler and isolating valves shall be arranged to permit isolation and cleaning of individual sections.;0
"It is preferred to have provision for visual inspection of the individual air cooler sections from outside whilst
the machine is operating.";0
"A drain to discharge water shall be piped to an open tundish where the drain can
be observed.";0
"Any
necessary apparatus required to withdraw the air coolers or permit on load repair shall be provided.";0
"Pumps should be of the centrifugal type unless technical reason dictate that a positive displacement
pump, either rotary or reciprocating, is more appropriate.";0
"However for Gas Turbine, OEM’s design and arrangement
of pumps as an integrated design on the equipment frames such as lube oil tank and hydraulic
oil tank are acceptable.";0
All transmitters shall be of the indicating type and shall have a built-in indicator displaying physical units. Exception of built-in indicator shall be considered only for temperature transmitters subject to explicit approval.;0
Generally, transmitters shall be provided instead of switches. However, application of switches (level, pressure, and flow switches) shall be subject to Employer/Engineer’s explicit approval.;0
Bumpless changeover of 2 x 100% fuel oil injection pumps;0
Overfluxing protection shall be operative during both automatic and manual modes of excitation control.;0
The GT shall be furnished with speed and zero speed sensors.;0
"A speed switch or other suitable means shall be provided to prevent closing the field breaker
before the machine has attained 90 percent speed.";0
All piping and valves shall be arranged so that a single cooler module can be taken out of service for maintenance without affecting plant output.;0
All training courses and material shall be provided in Chinese.;0
"The steam turbine shall be configured with electric hydraulic regulating
system.";0
"Turbine casing, bearing housing and sheath shall be horizontally split type for
easy maintenance.";0
Design of fire protection system shall be reviewed and approved by local competent fire department and taken as a basis for design, construction and acceptance.;0
Nested pipeline for lubricating oil system shall be provided.;0
"After bidder optimizing the water –steam cycle, provide the bypass configuration and each
bypass capacity fulfilling unit start up, shutdown and safety operation.";0
"After bidder optimizing the water –steam cycle, provide the bypass configuration and each
bypass capacity fulfilling unit start up, shutdown and safety operation.";0
"The overpressure protection to the pipelines shall be provided. The relief pipeline from discharge
pipe for the pump shall be directly returned to the oil tank.";0
"The supporting steel structure shall include the maintenance platform and access
ladder near the silencer.";0
"The input signal for each trip shall be provided with redundancy according to the
principle of two out of three.";0
"Online test can be done on each trip signal, and the protection device can still perform
protection function during online test and maintenance.";0
"In the island, a local centralized panel for fire alarm shall be installed, which is able to
display centralized position and control signals for fire alarm in a certain area and
carry out linkage control.";0
"Allow resetting software and modifying linkage control logic for intelligent equipment
such as intelligent detector and addressing module based on site condition changes.";0
"Blading shall be designed and constructed to avoid the possibility of damage from vibration when the set is
running continuously at any speed between 6% below 6% above normal speed.";0
"Emergency stop valves situated in series with the control valves shall be provided at all Steam Turbine
blading flow inlets.";0
"It is preferred that to prove the effectiveness of the Steam Turbine protection without
taking the Steam Turbine off line that all steam valves shall be capable of being tested from the CCR while
the set is carrying almost full load without causing any undue reduction in load.";0
The Contractor shall state and guarantee the maximum rate of hydrogen leakage from the generator;0
"The Contractor shall also state the volumes and flow rate of hydrogen,
CO2 and air, required for filling and for purging the generator in both a normal and emergency situation";0
The static frequency converter transformer may be housed in an IPW23 or better enclosure and shall be installed indoors if it is of dry type transformer.;0
"The slip rings and brushgear assembly shall be totally enclosed to prevent the ingress of oil and
other contaminants.";0
"Arrangements shall be provided for the local indication of the temperature and flow of oil from
each bearing pedestal.";0
"A system with appropriate alarms shall be provided to continuously
monitor the shaft brush contact and slip ring end bearing insulation.";0
"All LV switchboards and MCCs shall be designed with one fully fitted spare compartment for
every drawer size utilised in that switchboard or MCC.";0
"Gas tight access doors shall be provided to give access to ducts for inspection and maintenance.
They shall be not less than 600 mm x 600 mm size.";0
Neutral link connections shall be fully insulated.;0
A clear one-metre side access shall be provided at each end of the fully extended switchboard.;0
Miuccia Prada chose a new approach, eschewing fashion in favor of timeless style, while Gucci's Alessandro Michele made a controversial statement with a series of straitjackets. But in the end, it was Donatella Versace who won the week with her Friday night slot.;0
Revisiting one of her own most significant fashion contributions, Versace had J.Lo ignite the runway in a remake of the jungle green dress the singer wore to the 2000 Grammys.;0
At the time, so many people searched images of the garment that Google was inspired to create Google Image Search.;0
"At the end of her show, which riffed heavily off the green palm print so synonymous with that gown, Versace's voice came over the sound system: ""OK Google, now show me the real jungle dress.""";0
On cue, J.Lo herself emerged onto the runway in a new version of the dress and once again sent the social-media into meltdown.;0
Elsewhere, several other designers exhibited their Spring-Summer 2020 collections in venues that also showcased Milan's stunning architecture.;0
When it's fashion month, models usually have castings and fittings the whole day -- a lot of running around! It honestly changes everyday so there's not a routine that we can follow during that time, but a cup of coffee in the morning is something that I never forget.;0
Food is so important -- you have to be energized to go to all of your appointments. I want to feel great so I never skip meals even if my day is very busy. Staying hydrated is also very important!;0
There are so many good places in Paris. My favorites are probably Toraya for a good Japanese set lunch or sweet treat and Freddy's, a really nice wine and food place with tapas-like dishes that you can share with a friend. The place is pretty small but the food is very good.;0
Fairytale dresses -- complete with flowing chiffon and layers of tulle -- were also out in number, from actress Brittany Snow in J. Mendel to singer Halsey's strapless pink gown.;0
"With ""Game of Thrones"" leading nominations on the night, the series' stars were among some of the night's most talked-about. In particular, Emilia Clarke wowed in a plunging Valentino number.";0
Scrum is an agile process framework for managing complex knowledge work, with an initial emphasis on software development, although it has been used in other fields and is slowly starting to be explored for other complex work, research and advanced technologies.;0
It is designed for teams of ten or fewer members, who break their work into goals that can be completed within timeboxed iterations, called sprints, no longer than one month and most commonly two weeks, then track progress and re-plan in 15-minute time-boxed stand-up meetings, called daily scrums.;0
Scrum is a lightweight, iterative and incremental framework for managing complex work.;0
The framework challenges assumptions of the traditional, sequential approach to product development, and enables teams to self-organize by encouraging physical co-location or close online collaboration of all team members, as well as daily face-to-face communication among all team members and disciplines involved.;0
The Scrum framework was based on research by Schwaber with Tunde Babatunde at DuPont Research Station and University of Delaware. Tunde advised that attempts to develop complex product, such as software, that weren’t based in empiricism were doomed to higher risks and rates of failure as the initial conditions and assumptions change. Empiricism, using frequent inspection and adaptation, with flexibility and transparency is the most suitable approach.;0
"In the early 1990s, Ken Schwaber used what would become Scrum at his company, Advanced Development Methods; while Jeff Sutherland, John Scumniotales and Jeff McKenna implemented the first Scrum team at Easel Corporation in 1993 benchmarking it with tools from Capers Jones company, Software Productivity Reeearh. By 1995 they had demonstrated performance at 10 times the average waterfall productivity in Capers Jones productivity books.";0
Communication is a core responsibility of the product owner. The ability to convey priorities and empathize with team members and stakeholders is vital to steer product development in the right direction. The product owner role bridges the communication gap between the team and its stakeholders, serving as a proxy for stakeholders to the team and as a team representative to the overall stakeholder community.;0
Empathy is a key attribute for a product owner to have—the ability to put one's self in another's shoes. A product owner converses with different stakeholders, who have a variety of backgrounds, job roles, and objectives. A product owner must be able to see from these different points of view. To be effective, it is wise for a product owner to know the level of detail the audience needs.;0
A product owner's ability to communicate effectively is also enhanced by being skilled in techniques that identify stakeholder needs, negotiate priorities between stakeholder interests, and collaborate with developers to ensure effective implementation of requirements.;0
The team is self-organizing. While no work should come to the team except through the product owner, and the scrum master is expected to protect the team from too much distraction, the team should still be encouraged to interact directly with customers and/or stakeholders to gain maximum understanding and immediacy of feedback.;0
Scrum is facilitated by a scrum master, who is accountable for removing impediments to the ability of the team to deliver the product goals and deliverables.;0
"A sprint (also known as iteration or timebox) is the basic unit of development in Scrum. The sprint is a timeboxed effort; that is, the length is agreed and fixed in advance for each sprint and is normally between one week and one month, with two weeks being the most common.";0
Each sprint starts with a sprint planning event that establishes a sprint goal and the required product backlog items. The team accepts what they agree is ready and translate this into a sprint backlog, with a breakdown of the work required and an estimated forecast for the sprint goal. Each sprint ends with a sprint review and sprint retrospective, that reviews progress to show to stakeholders and identify lessons and improvements for the next sprints.;0
Scrum emphasizes valuable, useful output at the end of the sprint that is really done. In the case of software, this likely includes that the software has been fully integrated, tested and documented, and is potentially releasable.;0
"At the end of a sprint, the team holds two events: the sprint review and the sprint retrospective.

At the sprint review, the team:

reviews the work that was completed and the planned work that was not completed
presents the completed work to the stakeholders (a.k.a. the demo)
collaborates with the stakeholders on what to work on next
Guidelines for sprint reviews:

Incomplete work cannot be demonstrated.
The recommended duration is two hours for a two-week sprint (proportional for other sprint-durations).";0
"Guidelines for sprint retrospectives:

Three main questions are asked in the sprint retrospective: What went well during the sprint? What did not go well? What could be improved for better productivity in the next sprint?
The recommended duration is one-and-a-half hours for a two-week sprint (proportional for other sprint duration(s))
This event is facilitated by the scrum master";0
Backlog refinement (formerly called grooming) is the ongoing process of reviewing product backlog items and checking that they are appropriately prepared and ordered in a way that makes them clear and executable for teams once they enter sprints via the sprint planning activity. Product backlog items may be broken into multiple smaller ones. Acceptance criteria may be clarified. Dependencies may be identified and investigated.;0
The product backlog is what will be delivered, ordered into the sequence in which it should be delivered. It is visible to everyone but may only be changed with the consent of the product owner, who is ultimately responsible for ordering product backlog items for the development team to choose.;0
"The product backlog and the business value of each product backlog item is the responsibility of the product owner. The effort to deliver each item is estimated by the development team in story points, or time. By estimating in story points, the team reduces the dependency in individual developers; this is useful especially in dynamic teams where developers are often assigned to other projects after sprint delivery.";0
Story points define the effort in a time-box, so they do not change with time. For instance, in one hour an individual can walk, run, or climb, but the effort expended is clearly different. The gap progression between the terms in the Fibonacci sequence encourages the team to deliver carefully considered estimates. Estimates of 1, 2 or 3 imply similar efforts (1 being trivial), but if the team estimates an 8 or 13 (or higher), the impact on both delivery and budget can be significant.;0
Scrum is a feedback-driven empirical approach which is, like all empirical process control, underpinned by the three pillars of transparency, inspection, and adaptation.;0
Scrumban is a software production model based on Scrum and Kanban. Scrumban is especially suited for product maintenance with frequent and unexpected work items, such as production defects or programming errors.;0
In commerce, user experience (UX) is a person's emotions and attitudes about using a particular product, system or service. It includes the practical, experiential, affective, meaningful and valuable aspects of human–computer interaction and product ownership.;0
Many factors can influence a user's experience with a system. To address the variety, factors influencing user experience have been classified into three main categories: user's state and previous experience, system properties, and the usage context (situation).;0
One branch in user experience research focuses on emotions. This includes momentary experiences during interaction: designing affective interaction and evaluating emotions. Another branch is interested in understanding the long-term relation between user experience and product appreciation.;0
Machine learning (ML) is the scientific study of algorithms and statistical models that computer systems use to perform a specific task without using explicit instructions, relying on patterns and inference instead. It is seen as a subset of artificial intelligence.;0
"Machine learning algorithms build a mathematical model based on sample data, known as ""training data"", in order to make predictions or decisions without being explicitly programmed to perform the task.";0
Machine learning algorithms are used in a wide variety of applications, such as email filtering and computer vision, where it is difficult or infeasible to develop a conventional algorithm for effectively performing the task.;0
Machine learning is closely related to computational statistics, which focuses on making predictions using computers.;0
The study of mathematical optimization delivers methods, theory and application domains to the field of machine learning.;0
Data mining is a field of study within machine learning, and focuses on exploratory data analysis through unsupervised learning.;0
In its application across business problems, machine learning is also referred to as predictive analytics.;0
In supervised learning, the algorithm builds a mathematical model from a set of data that contains both the inputs and the desired outputs.;0
Semi-supervised learning algorithms develop mathematical models from incomplete training data, where a portion of the sample input doesn't have labels.;0
Classification algorithms are used when the outputs are restricted to a limited set of values. For a classification algorithm that filters emails, the input would be an incoming email, and the output would be the name of the folder in which to file the email.;0
Regression algorithms are named for their continuous outputs, meaning they may have any value within a range. Examples of a continuous value are the temperature, length, or price of an object.;0
In unsupervised learning, the algorithm builds a mathematical model from a set of data which contains only inputs and no desired output labels. Unsupervised learning algorithms are used to find structure in the data, like grouping or clustering of data points. Unsupervised learning can discover patterns in the data, and can group the inputs into categories, as in feature learning.;0
In computer science, artificial intelligence (AI), sometimes called machine intelligence, is intelligence demonstrated by machines, in contrast to the natural intelligence displayed by humans.;0
"Leading AI textbooks define the field as the study of ""intelligent agents"": any device that perceives its environment and takes actions that maximize its chance of successfully achieving its goals.";0
"Colloquially, the term ""artificial intelligence"" is often used to describe machines (or computers) that mimic ""cognitive"" functions that humans associate with the human mind, such as ""learning"" and ""problem solving"".";0
"Analytical AI has only characteristics consistent with cognitive intelligence; generating a cognitive representation of the world and using learning based on past experience to inform future decisions.";0
The overall research goal of artificial intelligence is to create technology that allows computers and machines to function in an intelligent manner.;0
The general problem of simulating (or creating) intelligence has been broken down into sub-problems.;0
Natural language processing (NLP) is a subfield of linguistics, computer science, information engineering, and artificial intelligence concerned with the interactions between computers and human (natural) languages, in particular how to program computers to process and analyze large amounts of natural language data.;0
Challenges in natural language processing frequently involve speech recognition, natural language understanding, and natural language generation.;0
"The history of natural language processing (NLP) generally started in the 1950s, although work can be found from earlier periods. In 1950, Alan Turing published an article titled ""Computing Machinery and Intelligence"" which proposed what is now called the Turing test as a criterion of intelligence.";0
"The machine-learning paradigm calls instead for using statistical inference to automatically learn such rules through the analysis of large corpora of typical real-world examples (a corpus (plural, ""corpora"") is a set of documents, possibly with human or computer annotations).";0
The pipeline in the lubricating oil system shall be made of 304 L stainless steel.;1
The pipeline in the lubricating oil system shall be made of 304 L stainless steel.;1
"Material of all pipings at the downstream of oil filter
shall be stainless steel.";1
"304L stainless steel shall be used for the
lubricant system pipelines.";1
304L stainless steel shall be selected for lube oil system pipe.;1
All lube oil, fuel gas and seal gas piping shall be 316L SS as minimum, butt-weld and terminated with flanged connections. Slip-on flange and socket-welded joints are not allowed.;1
"4-1.4 LUBE OIL SYSTEM:
A SUITABLE COMMON LUBE OIL AS ""OEM"" STANDARD SHOULD BE USED BOTH
FOR TURBINE AND GAS COMPRESSOR(S) .AND CONSIST OF STAINLESS STEEL OIL
RESERVOIR";1
Twin AISI 316 stainless steel oil filters;1
Lube oil system common for compressor and gas turbine inclusive:... 316L SS Lube oil reservoir,.....316L piping, vavles and fittings, ......Lub oil pumps: 2x100% oprating and standby;1
Lube oil supply piping shall be 304L stainless steel or higher grade.;1
"Lube oil supply piping shall be 304L stainless steel or higher grade
unless lower grade of material approved by the manufacturer.";1
All lubricating oil piping shall be of stainless steel.;1
All oil piping shall be stainless steel;1
304L Stainless Steel lube oil feed pipe;1
b. Stainless Steel lube oil drain pipe;1
"10. All piping from the oil filter to the lube oil feed points shall be stainless steel. The use
of carbon steel slip-on flanges is acceptable.";1
"Oil piping, tubing, fittings (including flanges), and valves from the lube oil filters to the
bearings shall be 304L stainless steel.";1
"Lube Oil System All lube oil supply piping shall be 18-8 stainless
steel. Other lube oil piping may be carbon steel.
Lube oil piping shall be shielded, guarded and/or
routed in such a way so that any potential leakage
will not spray hot surfaces. Guard pipe may serve as
the return piping.";1
Lube oil supply piping, valves, and fittings from the reservoir to the bearings will be Type 304 stainless steel. Drain piping from the bearings to the reservoir will be stainless steel.;1
"Lube Oil System All lube oil supply piping shall be 18-8 stainless
steel. Other lube oil piping may be carbon steel.
Lube oil piping shall be shielded, guarded and/or
routed in such a way so that any potential leakage
will not spray hot surfaces. Guard pipe may serve as
the return piping.";1
Lubricating oil pipe, valves and fittings shall be 304L stainless steel.;1
"8. Oil piping, fittings (including flanges), and valves from the lube oil filters to the
bearings shall be ASTM-A312 304L/316L (347 for flanges exceeding 304L or
316L capabilities) stainless steel.";1
Lubricating oil supply piping downstream of the filters shall be stainless steel;1
Lubricating oil supply piping downstream of the filters shall be stainless steel.;1
All oil supply piping, tubing, valves, and fittings from the reservoir to the bearings shall be type 304L stainless steel.;1
e. 304L SS return oil piping (if not Supplier’s standard);1
Piping downstream of the filter/separator shall be stainless steel.;1
Supplier-furnished oil piping, fittings (including flanges), and valves from the lube oil filters to the bearings shall be ASTM A-312 TP 304L. Carbon steel lube oil piping upstream;1
"All lube oil wetted components including, but not limited to the piping, reservoir, rundown
and accumulator tanks in lube oil service shall be 300 series stainless steel.";1
"All lube oil wetted components including, but not limited to the piping, reservoir, rundown
and accumulator tanks in lube oil service shall be 300 series stainless steel.";1
"All piping and components of the LO system shall
be SS 316 L. Reservoir shall be carbon steel
painted inside.";1
LO piping shall be stainless steel.;1
All lubrication oil piping shall be welded stainless steel;1
"alent to the specified standards. All lube oil and fuel
piping shall be made from stainless steel.";1
Lubrication, hydraulic, control, or seal oil supply piping shall be stainless steel materials.;1
All control oil piping, tubing, manual valves, “last chance” filters with differential pressure transmitters, servo valves and instrumentation shall be provided. All control oil system piping and tubing shall be either ASTM A-312 TP 316 or 316L stainless steel.;1
4.0 PROJECT SCHEDULE;0
"• HVAC: Complete air heating and ventilation system for the gas turbine compartments with
necessary equipment, ducts, supports, filtering and inlet/outlet air silencers";0
"4.3.7 Fire and Gas Detection & Protection Panel
Shall cover all spaces and rooms in the Gas Turbine Generator Package.";0
"Switches, push-buttons, indicators, etc., to operate equipment from both local and
remote control locations";0
The casing joint studs and nuts shall be designed for hydraulic bolt tensioning.;0
The perimeter shall be designed to accept the rubber “dog-bone” expansion joint that joins the exhaust hood to the main condenser neck and provides a vacuum seal.;0
all piping required between the control valve(s) and the spray nozzle;0
The turbine/generator and all other main shaft couplings shall be equipped with tapered sleeve type hydraulic coupling bolts (Pilgrim International or equivalent).;0
Piping with pressure gauges, regulators, and other necessary valves shall be provided to interconnect the end labyrinth seals.;0
All equipment required for a complete steam seal system including piping,;0
The lube oil system shall consist of a shop fabricated lube oil reservoir, coolers, pumps and other components contained within or mounted upon the reservoir, a permanent lube oil conditioner, and lube oil supply and return piping.;0
The oil reservoir shall be carbon steel with oil resistant epoxy coating on the inside.;0
2 x 100% capacity air-to-oil coolers with stainless steel tubes, isolation and transfer valves.;0
median value of measurements;0
Instrumentation;0
Section 19 – Instrumentation and Control.;0
Oil temperature to and from oil coolers;0
Steam chest pressure;0
Steam inlet valve strainer pressure differential;0
DCS Interface;0
contact sequence of events recorded with a 1 ms resolution.;0
• Pressure setting of regulator and relief valves;0
• Freeze protection requirements;0
2.4.27 Operation & Maintenance (O&M) Manuals;0
Parts Catalogue;0
Factory test and calibration certificates, test reports, and QA documentation.;0
"All drawings shall be identified with the purpose of the submittal issue on the drawing title
block,";0
01 3301 – SUBMITTAL LIST;0
Valid ISO 9001 certificate;0
Material Certificates;0
Training manual/handouts/materials;0
Final Training Materials;0
"This individual shall have full technical installation approval authority from Supplier and
shall delegate said authority to other qualified Supplier representative(s) during periods
when the lead TFA is absent from the jobsite.";0
authority;0
Ensure adequate utility supply;0
Lesson plans;0
Training manual;0
"The test results shall be turned over to the Owner at the completion of the training
sessions.";0
"Provide any necessary external access platforms
to access doors and ductwork manholes. Permanent access shall be provided to any
door or manhole that requires inspections on annual basis or less.";0
"The pulse air piping shall tie into
a single header outside of the filter compartment and terminate at a single stainless steel
flange 3 feet from grade.";0
"The pump skid shall be located on the
gas turbine building roof, with a 3-foot clearance around the skid to allow maintenance
activities.";0
Bleed heat piping material shall be 304L stainless steel.;0
"The inlet ductwork and plenum downstream of the evaporative cooler shall be stainless steel
material, marine grade aluminum or other corrosion resistant material.";0
24 gage, 55 percent Al-Zn coated sheet steel sideling.;0
"Silencers shall be designed as required to meet a far field noise level of 50 dBA at 500 feet
with both CTGs operating.";0
"Supplier shall provide the expansion joint
between the CTG and the HRSG.";0
2.15.3 Heat Tracing;0
"• Buffered Transducer Output
...
• Capable of central monitoring by a vibration monitoring system (BN System 1 or
similar) capable of high-level diagnostic evaluations.";0
"Under a typical start-up, the
combustion turbine shall essentially be ""push button"" start to synchronous speed.";0
"• Emergency stop pushbuttons - trip only, located near the unit with a connection for a
control room emergency stop pushbutton";0
"Supplier shall provide a common engineering workstation (EWS) to allow modification and
creation of control logic, design and development of graphic displays, setting of alarm and
control set points, and any other functions required for maintaining any CTG.";0
All material testing and inspection documentation shall be included with the O&M manuals.;0
Factory Tests;0
"Boresonic. Subsequent to final boring operations, a boresonic examination of the
turbine and generator rotors shall be made to assure rotor integrity and acceptability
for service.";0
No field flushing shall be required.;0
"The generator neutral terminals, T4-T5-T6, shall be electrically connected using a solid
copper bus bar.";0
• Stator ground fault (59G, 64G/64S) – 95% (one relay) and 100% (second relay);0
• Breaker Failure (50/62BF) – separate relay;0
• Sync Check (25) – separate relay (Beckwith M-0188A or Owner approved equal);0
"Generator and exciter coolers – 30 minutes at twice normal operating water
pressure, maximum surge pressure, or 60 psig; whichever is greatest.";0
The following electrical tests, as a minimum, shall be made on each generator;0
i. Gas turbine exhaust diffuser/plenum, including the expansion joint between turbine exhaust system outlet and HRSG inlet duct;0
Exhaust silencer.;0
302. CODE REQUIREMENTS;0
303. CLEANING AND PAINTING;0
Shorted Turns test shall be done via flux probe method.;0
Chemical and physical testing of rotors such as ultrasonic, magnetic, borescope;0
Open Circuit Curve (without sliprings);0
Shaft Voltage Check;0
Measurement of Rotor Impedance at Rated Frequency;0
"Measurement of Bearing Temperatures and Oil Flow Rates
s. Check for Oil Tightness";0
turbine exhaust pressure and temperature;0
Fuel gas supply system to gas turbines shall be compliant with NFPA 85 System 2 requirements to maintain purge credit as required to limit facility startup times.;0
Dual final filters with =5 micron filter elements. Provide differential pressure transmitters for all strainers and filters.;0
. Electric start up heaters, insulation, and lagging as required.;0
The starting system shall prevent current or voltage harmonics that exceed the levels specified in IEEE 519.;0
Inlet air system shall include a electrically powered jib crane and hoist to lift air filter elements for replacement;0
Provide steel inlet louver complete with stainless steel bird screen over inlet.;0
Include turbine exhaust transition piece to connection of the HRSG, fabric expansion joint designed for movements of the turbine exhaust and an anchored HRSG inlet section will be provided by others.;0
c. Provide removable panels, roof sections, and doors arranged to permit access to the equipment for inspection and maintenance.;0
i. Enclosures shall be designed to be elevated.;0
i. Enclosures shall be designed to be elevated.;0
Provide complete automatic fire detection and fire protection system of the dry-chemical carbon dioxide or water mist type complete with charged cylinders and all required accessories.;0
System shall include provisions for initial and extended discharge.;0
The portable lube oil purifier will be provided by Others.;0
A pushbutton for local engaging of the turning gear will be provided.;0
Air supply pressure may range from 80 to 100 psig with a maximum working pressure of 125 psig, and 40°F dew point.;0
Tubing will be stainless steel of proper size and gauge for operating conditions. Tube fittings will be Swagelok or Owner approved equal.;0
h. Provide Excitation AC and DC Bus ducts. Sandwich style bus duct is not acceptable. All conductor busing shall be copper.;0
On line replacement/maintenance of the failed device of the channel not in control shall be provided.;0
During the project design phase, the Seller shall prepare a piping line list showing line number, size, wall thickness, insulation requirement, material and design/, maximum/normal operating pressures/temperatures.;0
In general, all carbon steel and stainless steel shall be specified for butt welding or socket welding as appropriate.;0
The use of flanges shall be limited to connection to equipment or where required for maintenance.;0
Complete flexibility program models and analysis results for large bore high energy systems shall be submitted to Owner.;0
Safety/relief vent shall be run vertically outside of Supplier’s enclosure;0
Manual and automated fuel gas drain lines shall be routed outside of Supplier’s enclosure;0
Carbon, stainless steel, and alloy steel pipe for services with design temperature greater than 212oF shall be seamless. No exceptions will be accepted without Owner approval.;0
Piping — Corrosion Protection/Coatings (Shop);0
Omit paint from all areas of field welding, contact surface of field bolted connections, stainless steel, copper, plastics and other corrosion-resisting surfaces, and all nameplates.;0
Protect threads with a heavy coating of grease.;0
Lap joint flanges are not permitted.;0
Couplings shall be used for joining straight lengths of 2 inch and smaller piping.;0
Branch welds and mitered fittings shall not be used except with Owner approval.;0
Bolting shall consist of threaded studs and two nuts for each stud.;0
Material for studs shall be ASME, ASTM A 193, Grade B7 for piping design temperatures less than 750°F.;0
Material for nuts shall be ASME, ASTM A 194, Grade 2H for piping design temperatures less than 750°F.;0
Pipe support assemblies and structural steel shall be designed so they are capable of supporting the piping system during hydrostatic test conditions without additional or temporary measures. Design supplemental or auxiliary supporting steel in accordance with the AISC – Steel Construction Manual.;0
Provide locking hex nuts for all threaded connections having the possibility of turning to prevent rod disengagement. Turnbuckles shall be used to the maximum extent possible to meet this requirement. Turnbuckles shall be placed in the most accessible location practical.;0
Provide slide-bearing plates with 0.1 maximum friction coefficient for sliding base shoe and guide assemblies on high energy lines. Any other lubricated support location design shall be based on ungreased condition when considering the coefficient of friction during piping and support analysis.;0
Provide locking hex nuts on all pipe clamp bolts to prevent loosening of hex nuts.;0
